service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
NCT:PB0002362:31:10:82,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:83,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:84,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:85,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:86,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:87,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:88,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:89,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:90,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:91,1,1,1,1,1,0,0,20251124,20251213
