stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3300RU0926,,"Hollygate Pk, Fieldfare Road",,52.921314,-1.031614,,,0,,,0
3300RU0927,,"Maygreen Avenue",,52.91983,-1.031513,,,0,,,0
3300RU0928,,"Maygreen Avenue",,52.918896,-1.031638,,,0,,,0
3300RU0929,,"Yew Tree Road",,52.917841,-1.031201,,,0,,,0
3300RU0930,,"Hollygate Pk, Yew Tree Road",,52.917422,-1.02941,,,0,,,0
3390ME20,,"Bridgeway Centre",,52.9432728,-1.1474263,,,0,,,0
3390ME32,,"Bridgeway Centre",,52.9433205,-1.1478123,,,0,,,0
3390ME37,,"Wilford Crescent",,52.940545,-1.1456347,,,0,,,0
3390ME38,,"Holgate Road",,52.9385834,-1.1453757,,,0,,,0
3390ME39,,"Collygate Road",,52.9383101,-1.1436252,,,0,,,0
3390ME41,,"Bathley St, Bunbury St",,52.9386294,-1.1417887,,,0,,,0
3390ME42,,"Collygate Road",,52.9381172,-1.1443135,,,0,,,0
3390ME43,,"Holgate Road",,52.9395832,-1.1456536,,,0,,,0
3390ME44,,"Wilford Crescent",,52.9410588,-1.1458329,,,0,,,0
3390ME71,,"Bathley St, Bunbury St",,52.9387908,-1.141726,,,0,,,0
3390S1,,"Nottingham Station S1",,52.948067,-1.147545,,,0,,,0
3390BU01,,"Bulwell Bus Station stand A",,52.999808,-1.197903,,,0,,,0
3390BU21,,"Merchant Street",,53.0037108,-1.1951609,,,0,,,0
3390BU34,,"Merchant Street",,53.0034062,-1.1953156,,,0,,,0
3390BU35,,"Duke Street",,53.0024561,-1.1970619,,,0,,,0
3390BU44,,"St Albans Rd, Kersall Drive",,52.996008,-1.1808811,,,0,,,0
3390BU54,,"St Albans Rd, Kersall Drive",,52.9960159,-1.180717,,,0,,,0
3390BU55,,Piccadilly,,52.9979985,-1.1827358,,,0,,,0
3390BU56,,"Logan Street",,53.0002602,-1.1848091,,,0,,,0
3390BU57,,"Cantrell Road",,53.0020966,-1.1864882,,,0,,,0
3390BU58,,"Bancroft Street",,53.0038489,-1.1877071,,,0,,,0
3390BU59,,"Bestwood Road",,53.0050788,-1.1900983,,,0,,,0
3390BU60,,"Carey Road",,53.0052611,-1.1931053,,,0,,,0
3390BU61,,"Carey Road",,53.0053653,-1.1925668,,,0,,,0
3390BU62,,"Bestwood Road",,53.0049926,-1.1893249,,,0,,,0
3390BU63,,"Bancroft Street",,53.0032516,-1.1871222,,,0,,,0
3390BU64,,"Cantrell Road",,53.0019867,-1.1861922,,,0,,,0
3390BU65,,"Logan Street",,52.9993542,-1.1837831,,,0,,,0
3390BU66,,Piccadilly,,52.9978795,-1.1824251,,,0,,,0
3390BUT1,,"Duke Street",,53.0025297,-1.1973139,,,0,,,0
3390BW18,,"Riber Crescent",,52.9925887,-1.1739136,,,0,,,0
3390BW19,,"Gorse Court",,52.9947667,-1.1781631,,,0,,,0
3390BW20,,"Gorse Court",,52.9940457,-1.1765975,,,0,,,0
3390BW21,,"Riber Crescent",,52.9924681,-1.1733796,,,0,,,0
3390FO06,,"Mansfield Rd, Redcliffe Rd",,52.9687399,-1.1535962,,,0,,,0
3390FO07,,"Forest Recreation Ground",,52.9663827,-1.1533295,,,0,,,0
3390FO08,,"Forest Road",,52.9642351,-1.1521953,,,0,,,0
3390FO09,,"Huntingdon Street",,52.9623664,-1.1511003,,,0,,,0
3390FO10,,"Woodborough Road",,52.9601727,-1.1498183,,,0,,,0
3390FO11,,"Woodborough Road",,52.9600935,-1.150058,,,0,,,0
3390FO12,,"Huntingdon Street",,52.9629096,-1.1516405,,,0,,,0
3390FO15,,"Forest Recreation Ground",,52.9669342,-1.1537654,,,0,,,0
3390FO31,,"Mansfield Rd, Redcliffe Rd",,52.969015,-1.15394,,,0,,,0
3390G3,,"City, S Sherwood St G3",,52.9565588,-1.1510801,,,0,,,0
3390J1,,"City, Victoria Centre J1",,52.9576836,-1.1487059,,,0,,,0
3390SH41,,"Mansfield Road",,52.9716739,-1.15406,,,0,,,0
3390SH42,,"Ebury Road",,52.9733886,-1.1549945,,,0,,,0
3390SH43,,"Bernard Street",,52.9761127,-1.1562967,,,0,,,0
3390SH44,,"Teesdale Road",,52.9782385,-1.1568957,,,0,,,0
3390SH45,,"Leonard Avenue",,52.9802111,-1.1574382,,,0,,,0
3390SH46,,"Perry Road",,52.9828952,-1.1581605,,,0,,,0
3390SH47,,"Valley Road",,52.9862666,-1.1594654,,,0,,,0
3390SH48,,"Hucknall Rd, City Hospital",,52.98832,-1.160803,,,0,,,0
3390SH49,,"Heathfield Road",,52.9898568,-1.1663232,,,0,,,0
3390SH50,,"Arnold Road",,52.9907062,-1.1695248,,,0,,,0
3390SH51,,"Arnold Road",,52.990913,-1.1695209,,,0,,,0
3390SH52,,"Heathfield Road",,52.989703,-1.1649109,,,0,,,0
3390SH53,,"Hucknall Rd, City Hospital",,52.9885887,-1.1611336,,,0,,,0
3390SH55,,"Valley Road",,52.986382,-1.1592696,,,0,,,0
3390SH56,,"Perry Road",,52.9826685,-1.1578819,,,0,,,0
3390SH57,,"Leonard Avenue",,52.9813982,-1.1575045,,,0,,,0
3390SH58,,"Teesdale Road",,52.978543,-1.1567259,,,0,,,0
3390SH59,,"Bernard Street",,52.9755256,-1.155906,,,0,,,0
3390SH60,,"Ebury Road",,52.9735855,-1.1548716,,,0,,,0
3390SH61,,"Mansfield Road",,52.9714741,-1.153781,,,0,,,0
